customerId,movieID,theaterID,customerName,customerGender,customerAge,customerEmail,customerPhone,customerAddress
1,180,13,Senghort Kry,F,55,SenghortKry@gmail.com,8326690793,"New York City, New York"
2,353,7,Dara Dorn,F,50,DaraDorn@gmail.com,9459370536,"Los Angeles, California"
3,359,11,John Smith,F,43,JohnSmith@gmail.com,1342910058,"Chicago, Illinois"
4,111,21,Emily Johnson,F,54,EmilyJohnson@gmail.com,3022162694,"Houston, Texas"
5,269,27,Michael Williams,M,64,MichaelWilliams@gmail.com,7180371040,"Phoenix, Arizona"
6,102,9,Emma Jones,M,67,EmmaJones@gmail.com,5056946784,"Philadelphia, Pennsylvania"
7,412,17,Christopher Brown,F,42,ChristopherBrown@gmail.com,3221857684,"San Antonio, Texas"
8,257,21,Olivia Davis,F,48,OliviaDavis@gmail.com,9630629561,"San Diego, California"
9,174,7,Daniel Miller,M,45,DanielMiller@gmail.com,757875703,"Dallas, Texas"
10,118,9,Ava Wilson,F,67,AvaWilson@gmail.com,3629974755,"San Jose, California"
11,72,27,Matthew Taylor,M,34,MatthewTaylor@gmail.com,3297289710,"New York City, New York"
12,383,24,Sophia Anderson,F,78,SophiaAnderson@gmail.com,7517513985,"Los Angeles, California"
13,127,5,Andrew Thomas,M,52,AndrewThomas@gmail.com,1008739042,"Chicago, Illinois"
14,165,12,Isabella Martinez,M,72,IsabellaMartinez@gmail.com,4493562841,"Houston, Texas"
15,322,11,William Jackson,F,75,WilliamJackson@gmail.com,865358264,"Phoenix, Arizona"
16,380,22,Mia White,M,55,MiaWhite@gmail.com,1653232362,"Philadelphia, Pennsylvania"
17,232,20,Ethan Harris,F,34,EthanHarris@gmail.com,7308093903,"San Antonio, Texas"
18,383,2,Charlotte Thompson,M,22,CharlotteThompson@gmail.com,6934752859,"San Diego, California"
19,369,17,Joseph Moore,F,32,JosephMoore@gmail.com,9966788469,"Dallas, Texas"
20,346,3,Abigail Clark,M,11,AbigailClark@gmail.com,8563211105,"San Jose, California"
21,16,17,James Lee,M,29,JamesLee@gmail.com,8843156333,"Los Angeles, California"
22,185,27,Harper Lewis,F,60,HarperLewis@gmail.com,1788600297,"Chicago, Illinois"
23,233,17,Benjamin Walker,F,49,BenjaminWalker@gmail.com,3237410410,"Houston, Texas"
24,257,6,Amelia Hall,M,17,AmeliaHall@gmail.com,9519496447,"Phoenix, Arizona"
25,129,30,Samuel Turner,M,23,SamuelTurner@gmail.com,5182083972,"Philadelphia, Pennsylvania"
26,377,2,Elizabeth Hill,F,54,ElizabethHill@gmail.com,8389224636,"San Antonio, Texas"
27,400,17,David Nelson,F,64,DavidNelson@gmail.com,82965130,"San Diego, California"
28,280,10,Sofia Adams,M,61,SofiaAdams@gmail.com,8610984307,"Dallas, Texas"
29,167,3,Daniel Wright,F,43,DanielWright@gmail.com,9172031299,"San Jose, California"
30,403,4,Victoria Mitchell,M,33,VictoriaMitchell@gmail.com,5062217802,"Houston, Texas"
31,205,1,Josephine Roberts,F,12,JosephineRoberts@gmail.com,5241949248,"Phoenix, Arizona"
32,475,9,Logan Campbell,F,79,LoganCampbell@gmail.com,6623003350,"Philadelphia, Pennsylvania"
33,393,22,Grace Phillips,F,69,GracePhillips@gmail.com,4619673558,"San Antonio, Texas"
34,142,8,Alexander Evans,F,60,AlexanderEvans@gmail.com,7106488845,"San Diego, California"
35,119,3,Scarlett Bailey,M,38,ScarlettBailey@gmail.com,841853564,"Dallas, Texas"
36,223,23,Henry Green,M,20,HenryGreen@gmail.com,6556612381,"San Jose, California"
37,3,8,Madison Carter,M,36,MadisonCarter@gmail.com,3060034486,"New York City, New York"
38,144,19,Gabriel Murphy,M,19,GabrielMurphy@gmail.com,8482532399,"Los Angeles, California"
39,296,5,Chloe Parker,F,75,ChloeParker@gmail.com,503624068,"Chicago, Illinois"
40,239,16,Carter Collins,F,51,CarterCollins@gmail.com,7923049221,"Houston, Texas"
41,291,29,Penelope Reed,M,52,PenelopeReed@gmail.com,9350182544,"Phoenix, Arizona"
42,457,30,Owen Cook,F,22,OwenCook@gmail.com,5092213716,"Philadelphia, Pennsylvania"
43,183,1,Lily Bennett,M,40,LilyBennett@gmail.com,5908846699,"San Antonio, Texas"
44,116,9,Matthew Gray,M,15,MatthewGray@gmail.com,6411808895,"San Diego, California"
45,317,21,Ellie Rivera,M,54,EllieRivera@gmail.com,791919737,"Dallas, Texas"
46,377,6,Samuel Rogers,F,28,SamuelRogers@gmail.com,9106021295,"San Jose, California"
47,378,24,Audrey Coleman,M,68,AudreyColeman@gmail.com,6718745330,"San Jose, California"
48,477,5,Christopher Wood,M,71,ChristopherWood@gmail.com,3688385846,"Philadelphia, Pennsylvania"
49,160,8,Avery Richardson,M,67,AveryRichardson@gmail.com,3126684504,"San Antonio, Texas"
50,50,16,Wyatt Watson,F,64,WyattWatson@gmail.com,9163469239,"San Diego, California"
51,143,26,Zoey Brooks,F,23,ZoeyBrooks@gmail.com,268752075,"Dallas, Texas"
52,400,13,Julian Morris,F,68,JulianMorris@gmail.com,6234232390,"San Jose, California"
53,62,14,Stella Hayes,F,34,StellaHayes@gmail.com,6451948089,"New York City, New York"
54,266,16,Nathaniel Price,F,73,NathanielPrice@gmail.com,6869940432,"Los Angeles, California"
55,400,10,Maya Foster,M,40,MayaFoster@gmail.com,8907279291,"Chicago, Illinois"
56,54,24,Christian Cox,F,10,ChristianCox@gmail.com,1927530671,"Houston, Texas"
57,168,16,Lucy Ramirez,M,38,LucyRamirez@gmail.com,8800219948,"Phoenix, Arizona"
58,368,5,Jonathan Howard,M,42,JonathanHoward@gmail.com,1785031421,"Philadelphia, Pennsylvania"
59,1,17,Samantha Perry,F,77,SamanthaPerry@gmail.com,6290382035,"San Antonio, Texas"
60,340,18,David Foster,M,36,DavidFoster@gmail.com,6121907963,"San Diego, California"
